,Number of returns,Number of exemptions,,Adjusted Gross Income,Salaries and Wages,,Taxable Interest,,Total Tax,,Schedule C Net Profit/Loss,Schedule F Net Profit/Loss,Total Itemized Deductions
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90032,"17,304","39,203","16,501","517,280","15,180","451,550","4,947","3,500","11,089","34,176","2,395",--        ,"4,330"
"Under $10,000        ","3,435","5,327","1,458","17,812","2,503","14,692",520,279,"1,229",653,728,--        ,98
"$10,000 under $25,000","5,902","13,039","5,747","101,154","5,153","85,548","1,091",662,"3,265","3,324",817,--        ,554
"$25,000 under $50,000","5,144","12,767","5,792","183,016","4,857","167,392","1,652",877,"3,881","9,625",519,--        ,"1,705"
"$50,000 under $75,000","1,818","5,009","2,210","109,440","1,727","98,392",994,603,"1,716","8,405",196,--        ,"1,133"
"$75,000 under $100,000",639,"1,990",879,"54,664",609,"49,084",398,331,633,"4,983",75,--        ,518
"$100,000 or more     ",366,"1,071",415,"51,194",331,"36,442",292,748,365,"7,186",60,--        ,322
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90033,"14,066","35,562","17,486","318,421","12,336","281,050","2,185","1,760","7,215","16,114","2,046",--        ,"1,751"
"Under $10,000        ","3,261","5,884","2,164","17,506","2,313","13,247",303,172,"1,188",700,847,--        ,63
"$10,000 under $25,000","6,251","16,017","8,252","106,090","5,664","93,678",666,404,"2,858","2,865",806,--        ,372
"$25,000 under $50,000","3,614","10,753","5,656","123,138","3,483","116,206",750,339,"2,283","4,913",294,--        ,786
"$50,000 under $75,000",710,"2,260","1,143","42,037",677,"38,745",316,313,656,"2,928",66,--        ,356
"$75,000 under $100,000",153,458,202,"12,946",139,"10,434",87,200,153,"1,262",16,--        ,112
"$100,000 or more     ",77,190,69,"16,704",60,"8,740",63,332,77,"3,446",17,--        ,62
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90034,"27,303","47,028","13,033","1,191,456","23,549","954,056","10,300","15,580","21,493","152,278","5,749",*         ,"7,724"
"Under $10,000        ","4,969","6,380","1,002","11,243","3,250","19,707","1,167","1,027","1,891","1,011","1,367",*         ,279
"$10,000 under $25,000","7,105","11,811","3,570","123,373","6,149","103,467","1,699","1,909","5,261","6,252","1,492",--        ,842
"$25,000 under $50,000","8,157","14,051","4,161","294,889","7,653","268,725","2,764","2,383","7,335","24,082","1,328",--        ,"2,001"
"$50,000 under $75,000","3,522","6,513","1,795","213,545","3,298","189,403","1,906","1,935","3,467","24,306",670,--        ,"1,691"
"$75,000 under $100,000","1,505","3,252",933,"129,313","1,377","107,834","1,032","1,754","1,498","15,850",338,*         ,"1,048"
"$100,000 or more     ","2,045","5,021","1,572","419,093","1,822","264,920","1,732","6,572","2,041","80,777",554,*         ,"1,863"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90035,"13,108","22,789","5,980","915,237","9,949","597,273","6,915","39,820","10,745","149,675","3,657",*         ,"5,683"
"Under $10,000        ","2,464","3,172",466,"-5,839","1,257","8,255",971,"1,755",959,672,773,--        ,165
"$10,000 under $25,000","2,545","3,893",908,"43,446","1,861","29,914",930,"1,762","1,977","2,666",728,--        ,470
"$25,000 under $50,000","3,171","5,180","1,379","115,457","2,662","90,384","1,400","3,114","2,936","10,191",810,--        ,"1,166"
"$50,000 under $75,000","1,787","3,128",815,"109,542","1,525","85,191","1,066","2,675","1,746","12,526",419,--        ,"1,052"
"$75,000 under $100,000","1,001","2,019",556,"86,154",839,"62,563",716,"2,320",991,"10,691",280,--        ,803
"$100,000 or more     ","2,140","5,397","1,856","566,477","1,805","320,966","1,832","28,194","2,136","112,929",647,*         ,"2,027"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90036,"17,625","27,871","6,127","1,255,643","13,973","835,685","8,518","32,329","14,915","211,265","5,083",*         ,"7,346"
"Under $10,000        ","3,021","3,670",369,"-7,531","1,625","16,321","1,106","3,084","1,211",805,"1,052",--        ,228
"$10,000 under $25,000","3,314","4,533",780,"57,176","2,510","40,449","1,228","2,126","2,749","3,717","1,026",--        ,634
"$25,000 under $50,000","4,546","6,662","1,396","166,763","3,978","137,754","1,786","2,717","4,289","16,059","1,211",--        ,"1,506"
"$50,000 under $75,000","2,726","4,543","1,084","167,341","2,407","135,464","1,450","2,869","2,668","20,801",684,*         ,"1,523"
"$75,000 under $100,000","1,474","2,770",739,"127,287","1,284","100,603",917,"2,450","1,458","17,604",403,--        ,"1,113"
"$100,000 or more     ","2,544","5,693","1,759","744,607","2,169","405,094","2,031","19,083","2,540","152,279",707,*         ,"2,342"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90037,"18,115","44,698","22,281","380,787","15,611","334,646","2,544",721,"9,284","16,544","3,385",--        ,"2,908"
"Under $10,000        ","4,349","7,901","3,154","22,471","3,061","17,866",256,78,"1,701","1,184","1,343",--        ,104
"$10,000 under $25,000","8,418","21,338","11,172","141,623","7,453","121,754",868,217,"3,818","4,108","1,483",--        ,745
"$25,000 under $50,000","4,373","12,413","6,450","149,237","4,182","139,242",972,279,"2,859","5,704",438,--        ,"1,411"
"$50,000 under $75,000",761,"2,376","1,189","45,144",724,"40,398",317,85,694,"3,060",83,--        ,474
"$75,000 under $100,000",152,480,233,"12,855",141,"10,540",90,37,150,"1,143",26,--        ,121
"$100,000 or more     ",62,190,83,"9,457",50,"4,846",41,25,62,"1,345",12,--        ,53
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90038,"11,485","22,299","8,223","300,186","9,823","258,003","2,266","2,104","7,803","26,313","2,813",--        ,"1,740"
"Under $10,000        ","2,848","4,237","1,108","12,771","1,855","10,911",320,212,"1,324",821,"1,093",--        ,54
"$10,000 under $25,000","4,505","9,178","3,797","76,293","4,000","65,968",567,429,"2,929","3,259",992,--        ,321
"$25,000 under $50,000","2,916","6,343","2,488","100,731","2,819","94,293",714,388,"2,358","6,542",456,--        ,608
"$50,000 under $75,000",752,"1,636",591,"45,187",719,"41,014",360,248,731,"4,654",162,--        ,364
"$75,000 under $100,000",215,426,122,"18,301",208,"16,436",122,95,213,"2,359",47,--        ,172
"$100,000 or more     ",249,479,117,"46,903",222,"29,381",183,732,248,"8,678",63,--        ,221
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90039,"14,134","25,534","7,530","680,999","11,745","519,387","5,976","8,797","11,015","87,057","3,386",*         ,"5,338"
"Under $10,000        ","2,515","3,278",510,"4,981","1,534","9,200",624,602,"1,011",590,819,--        ,164
"$10,000 under $25,000","3,515","6,136","1,954","60,959","2,857","47,252",873,924,"2,469","3,007",797,*         ,553
"$25,000 under $50,000","3,865","7,295","2,456","140,440","3,524","121,749","1,506","1,458","3,355","10,564",667,--        ,"1,305"
"$50,000 under $75,000","1,945","3,903","1,250","118,951","1,758","99,364","1,163","1,465","1,894","12,318",425,*         ,"1,260"
"$75,000 under $100,000",932,"1,997",599,"79,442",855,"65,936",661,793,926,"9,247",227,--        ,768
"$100,000 or more     ","1,362","2,925",761,"276,226","1,217","175,886","1,149","3,555","1,360","51,331",451,*         ,"1,288"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90040,"4,588","11,167","5,088","148,730","4,061","124,282","1,217","1,572","2,883","11,509",588,--        ,"1,159"
"Under $10,000        ",785,"1,236",350,"3,650",576,"3,556",99,50,270,134,159,--        ,21
"$10,000 under $25,000","1,615","3,686","1,712","27,950","1,410","23,765",287,134,864,848,208,--        ,166
"$25,000 under $50,000","1,481","3,947","1,922","52,119","1,401","47,837",421,184,"1,085","2,536",130,--        ,464
"$50,000 under $75,000",463,"1,533",763,"28,040",451,"25,873",237,81,422,"1,785",56,--        ,297
"$75,000 under $100,000",137,471,225,"11,780",128,"10,355",87,75,135,"1,053",19,--        ,109
"$100,000 or more     ",107,294,116,"25,191",95,"12,896",86,"1,048",107,"5,153",16,--        ,102
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90041,"12,036","23,881","7,910","540,811","10,118","442,007","5,203","5,509","9,322","56,391","2,403",*         ,"4,690"
"Under $10,000        ","2,058","2,671",418,"6,653","1,308","7,443",442,400,803,418,503,--        ,96
"$10,000 under $25,000","2,950","5,177","1,688","50,783","2,393","39,991",774,777,"2,030","2,300",519,--        ,448
"$25,000 under $50,000","3,240","6,484","2,358","116,791","2,931","100,345","1,240",956,"2,771","8,106",521,--        ,"1,132"
"$50,000 under $75,000","1,702","3,952","1,409","104,281","1,573","90,453","1,033",884,"1,638","9,126",342,--        ,"1,118"
"$75,000 under $100,000",942,"2,411",881,"81,397",869,"68,922",731,616,937,"8,371",218,*         ,805
"$100,000 or more     ","1,144","3,186","1,156","180,906","1,044","134,853",983,"1,876","1,143","28,070",300,--        ,"1,091"
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90042,"24,390","53,034","21,250","814,113","21,221","700,861","7,588","5,783","16,548","67,183","4,588",*         ,"7,417"
"Under $10,000        ","4,662","7,271","2,081","19,670","3,217","18,518",721,458,"1,787","1,023","1,298",--        ,193
"$10,000 under $25,000","7,841","17,015","7,479","133,960","6,801","111,730","1,361",963,"4,557","5,049","1,412",--        ,897
"$25,000 under $50,000","6,891","16,409","7,151","245,301","6,486","221,901","2,248","1,223","5,360","13,892",905,*         ,"2,463"
"$50,000 under $75,000","2,875","7,042","2,743","174,874","2,737","157,665","1,637","1,122","2,735","14,907",479,--        ,"1,976"
"$75,000 under $100,000","1,165","2,944","1,069","99,621","1,101","87,273",825,701,"1,155","10,397",244,--        ,"1,005"
"$100,000 or more     ",956,"2,353",727,"140,687",879,"103,774",796,"1,316",954,"21,915",250,--        ,883
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90043,"18,121","37,438","15,385","666,384","14,908","528,083","5,942","4,602","12,112","55,286","3,352",--        ,"7,139"
"Under $10,000        ","3,354","5,266","1,706","13,170","2,288","13,361",479,412,"1,079",650,809,--        ,197
"$10,000 under $25,000","5,502","11,504","5,256","93,311","4,423","72,053",981,596,"3,021","3,145","1,052",--        ,910
"$25,000 under $50,000","5,114","10,973","4,824","183,511","4,513","154,840","1,713","1,049","3,985","9,523",664,--        ,"2,437"
"$50,000 under $75,000","2,141","4,654","1,817","129,932","1,910","105,561","1,198",848,"2,032","10,174",347,--        ,"1,715"
"$75,000 under $100,000",998,"2,357",841,"86,097",883,"67,574",718,511,984,"8,095",209,--        ,905
"$100,000 or more     ","1,012","2,684",941,"160,363",891,"114,694",853,"1,186","1,011","23,699",271,--        ,975
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90044,"28,157","68,314","34,252","660,341","24,367","568,484","4,736","1,846","14,737","31,248","4,816",--        ,"6,060"
"Under $10,000        ","6,339","11,857","5,072","33,490","4,599","26,167",417,159,"2,228","1,524","1,743",--        ,186
"$10,000 under $25,000","12,167","30,016","15,802","205,210","10,672","174,066","1,308",371,"5,511","5,746","2,054",--        ,"1,291"
"$25,000 under $50,000","7,281","19,839","10,321","252,164","6,875","230,350","1,778",650,"4,760","9,821",726,--        ,"2,765"
"$50,000 under $75,000","1,707","4,783","2,311","101,553","1,614","89,363",817,388,"1,581","6,958",199,--        ,"1,221"
"$75,000 under $100,000",440,"1,231",525,"37,242",414,"30,429",251,100,435,"3,411",63,--        ,391
"$100,000 or more     ",223,588,221,"30,682",193,"18,109",165,178,222,"3,788",31,--        ,206
                     ,          ,          ,          ,               ,          ,               ,          ,               ,          ,               ,          ,          ,          
90045,"17,197","32,394","9,229","1,155,676","13,862","872,556","9,544","18,445","14,102","165,622","3,563",18,"8,351"
"Under $10,000        ","2,706","3,320",429,"-2,618","1,651","10,695",916,862,955,519,549,*         ,184
"$10,000 under $25,000","2,982","4,614","1,188","51,529","2,200","36,792","1,077","1,769","2,154","2,487",583,--        ,552
"$25,000 under $50,000","3,990","6,860","2,033","146,892","3,344","116,835","1,735","2,688","3,562","11,388",682,*         ,"1,452"
